PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Q2-22,Quartal,01/03/2022,332.0,,,,,
Q3-22,Quartal,01/03/2022,323.0,,,,,
cal-23,Jahr,01/03/2022,155.92,,,,,
Q4-22,Quartal,01/03/2022,317.5,,,,,
cal-23,Jahr,01/04/2022,186.53,,,,,
Q3-23,Quartal,01/04/2022,149.46,,,,,
Q4-24,Quartal,01/04/2022,182.44,,,,,
Q1-23,Quartal,01/04/2022,258.5,,,,,
Q4-22,Quartal,01/04/2022,271.03,,,,,
Q3-22,Quartal,01/04/2022,272.25,,,,,
cal-25,Jahr,01/04/2022,100.55,,,,,
Q2-23,Quartal,01/04/2022,157.0,,,,,
cal-24,Jahr,01/04/2022,121.25,,,,,
Q2-23,Quartal,01/06/2022,204.63,200.00,205.00,93912,5983,27
Q3-23,Quartal,01/06/2022,208.25,205.00,210.00,50784,5542,13
M6-22,Monat,01/06/2022,188.4,-,-,-,233979,-
Q4-23,Quartal,01/06/2022,260.27,-,-,-,5623,-
Q2-24,Quartal,01/06/2022,156.74,153.00,153.00,10920,380,5
M9-22,Monat,01/06/2022,224.5,218.00,224.50,94320,2147,70
Q1-24,Quartal,01/06/2022,238.37,-,-,-,578,-
cal-25,Jahr,01/06/2022,164.0,161.75,164.00,297840,5506,20
Q4-22,Quartal,01/06/2022,263.13,257.50,265.00,223109,186480,55
Q1-23,Quartal,01/06/2022,292.5,290.00,294.00,181356,14932,62
cal-24,Jahr,01/06/2022,188.39,185.00,188.50,676368,18647,57
Q3-22,Quartal,01/06/2022,209.3,203.00,210.50,525504,199955,171
Q4-24,Quartal,01/06/2022,200.84,-,-,-,116,-
M11-22,Monat,01/06/2022,282.05,279.80,279.80,1440,72,1
M12-22,Monat,01/06/2022,280.23,280.00,280.00,11160,310,15
M1-23,Monat,01/06/2022,314.16,-,-,-,-,-
Q3-24,Quartal,01/06/2022,157.83,-,-,-,475,-
M2-23,Monat,01/06/2022,308.27,-,-,-,-,-
M3-23,Monat,01/06/2022,256.55,-,-,-,-,-
M7-22,Monat,01/06/2022,197.39,193.50,200.04,144336,3780,120
M8-22,Monat,01/06/2022,206.51,201.00,209.00,47616,983,42
cal-23,Jahr,01/06/2022,241.23,234.00,243.00,1506720,75571,156
M10-22,Monat,01/06/2022,227.78,-,-,-,615,-
Q4-22,Quartal,02/03/2022,327.0,,,,,
cal-23,Jahr,02/03/2022,162.75,,,,,
Q3-22,Quartal,02/03/2022,330.0,,,,,
Q2-22,Quartal,02/03/2022,338.0,,,,,
Q1-23,Quartal,02/05/2022,245.39,245.00,252.00,120904,12573,29
M1-23,Monat,02/05/2022,263.65,-,-,-,-,-
M10-22,Monat,02/05/2022,245.73,-,-,-,525,-
Q1-24,Quartal,02/05/2022,204.29,-,-,-,487,-
Q4-22,Quartal,02/05/2022,249.42,248.45,253.50,94987,181886,27
cal-24,Jahr,02/05/2022,164.25,164.00,165.00,140544,16916,13
Q4-23,Quartal,02/05/2022,207.99,207.50,207.95,68479,4574,23
Q2-23,Quartal,02/05/2022,175.47,172.00,175.45,43680,5298,19
cal-25,Jahr,02/05/2022,144.05,144.00,145.25,96360,4710,11
M11-22,Monat,02/05/2022,257.9,-,-,-,69,-
Q3-24,Quartal,02/05/2022,140.0,-,-,-,438,-
Q3-22,Quartal,02/05/2022,220.73,219.00,226.00,57408,192476,21
M12-22,Monat,02/05/2022,244.91,-,-,-,294,-
Q2-24,Quartal,02/05/2022,142.51,-,-,-,327,-
M9-22,Monat,02/05/2022,245.99,245.00,245.00,1440,609,2
M6-22,Monat,02/05/2022,201.5,198.00,203.00,78480,217300,73
Q4-24,Quartal,02/05/2022,170.41,-,-,-,78,-
Q3-23,Quartal,02/05/2022,173.76,172.00,173.00,19872,4897,9
M8-22,Monat,02/05/2022,206.71,213.00,213.00,3720,308,1
M7-22,Monat,02/05/2022,210.3,212.00,215.00,9672,966,4
cal-23,Jahr,02/05/2022,200.47,196.00,204.50,420480,69584,45
M5-22,Monat,02/05/2022,192.92,-,-,-,229812,-
M12-22,Monat,03/05/2022,251.44,-,-,-,294,-
Q1-24,Quartal,03/05/2022,206.52,-,-,-,487,-
M2-23,Monat,03/05/2022,262.4,-,-,-,-,-
M11-22,Monat,03/05/2022,263.82,-,-,-,69,-
M1-23,Monat,03/05/2022,267.41,-,-,-,-,-
Q4-22,Quartal,03/05/2022,255.0,247.70,257.00,231945,182117,72
Q3-23,Quartal,03/05/2022,177.65,174.50,179.00,19872,4918,7
cal-23,Jahr,03/05/2022,205.0,199.00,207.00,1252680,69813,126
Q4-24,Quartal,03/05/2022,173.73,-,-,-,78,-
cal-25,Jahr,03/05/2022,148.1,144.00,148.00,105120,4727,8
M6-22,Monat,03/05/2022,204.96,193.15,208.75,291600,218251,241
Q1-23,Quartal,03/05/2022,249.65,244.50,251.25,252603,12674,59
M8-22,Monat,03/05/2022,210.44,208.00,211.00,11160,348,6
Q2-24,Quartal,03/05/2022,144.1,-,-,-,327,-
M5-22,Monat,03/05/2022,197.57,-,-,-,229804,-
cal-24,Jahr,03/05/2022,166.25,163.00,168.00,333792,17007,37
Q4-23,Quartal,03/05/2022,216.73,210.95,217.00,119286,4641,30
M7-22,Monat,03/05/2022,214.91,207.00,217.00,29016,1017,19
Q2-23,Quartal,03/05/2022,176.65,172.00,177.75,74256,5330,24
Q3-22,Quartal,03/05/2022,224.15,217.00,226.25,507840,192821,146
M9-22,Monat,03/05/2022,247.86,245.00,249.00,10080,630,9
Q3-24,Quartal,03/05/2022,140.87,-,-,-,438,-
M10-22,Monat,03/05/2022,250.03,-,-,-,525,-
cal-23,Jahr,04/04/2022,181.84,,,,,
Q4-22,Quartal,04/05/2022,264.5,263.00,272.00,521324,182445,120
Q1-24,Quartal,04/05/2022,222.34,218.00,221.50,21830,504,4
cal-24,Jahr,04/05/2022,178.0,172.00,183.45,667584,17111,61
Q3-23,Quartal,04/05/2022,185.98,183.00,190.50,22080,4999,9
Q4-23,Quartal,04/05/2022,227.97,228.00,236.00,194392,4767,61
M10-22,Monat,04/05/2022,253.18,-,-,-,525,-
M5-22,Monat,04/05/2022,201.11,-,-,-,229804,-
Q1-23,Quartal,04/05/2022,260.98,252.00,267.00,308737,12840,93
cal-25,Jahr,04/05/2022,155.25,154.00,157.00,201480,4764,23
Q2-23,Quartal,04/05/2022,187.38,186.00,191.00,48048,5398,18
M12-22,Monat,04/05/2022,266.91,-,-,-,294,-
M8-22,Monat,04/05/2022,223.52,215.00,226.00,12648,370,14
Q3-24,Quartal,04/05/2022,150.0,-,-,-,438,-
Q4-24,Quartal,04/05/2022,186.87,-,-,-,78,-
M7-22,Monat,04/05/2022,226.26,216.00,228.00,30504,1100,26
M2-23,Monat,04/05/2022,275.57,-,-,-,-,-
M1-23,Monat,04/05/2022,280.83,-,-,-,-,-
M6-22,Monat,04/05/2022,214.47,202.49,219.95,337680,219424,248
M9-22,Monat,04/05/2022,257.42,250.00,262.00,46800,773,27
Q2-24,Quartal,04/05/2022,153.0,-,-,-,327,-
cal-23,Jahr,04/05/2022,215.4,212.00,221.00,1611840,70280,167
Q3-22,Quartal,04/05/2022,235.5,225.00,240.50,457056,193197,129
M11-22,Monat,04/05/2022,273.73,-,-,-,69,-
M1-23,Monat,05/04/2022,264.99,-,-,-,-,-
cal-24,Jahr,05/04/2022,128.0,123.5,128,1308816,15631,100
cal-25,Jahr,05/04/2022,108.0,104.95,108.5,140160,4162,16
Q3-22,Quartal,05/04/2022,256.25,248.75,257,521088,187335,161
M7-22,Monat,05/04/2022,251.81,247.5,251,26040,392,18
M9-22,Monat,05/04/2022,272.22,-,-,-,268,-
cal-23,Jahr,05/04/2022,184.99,180.8,186.25,1042440,66179,104
Q4-22,Quartal,05/04/2022,260.0,253,262,269498,178202,54
Q3-24,Quartal,05/04/2022,103.95,99,101.5,24288,350,3
Q1-24,Quartal,05/04/2022,172.95,168,168,2183,323,1
Q2-23,Quartal,05/04/2022,158.34,154,159,102648,4817,31
Q3-23,Quartal,05/04/2022,152.95,151,153,57408,4399,17
M8-22,Monat,05/04/2022,245.24,246,246,744,109,1
M10-22,Monat,05/04/2022,257.87,-,-,-,295,-
M4-22,Monat,05/04/2022,183.67,-,-,-,236691,-
M11-22,Monat,05/04/2022,266.86,273,273,3600,14,1
Q4-23,Quartal,05/04/2022,182.58,180,183,136958,3608,34
Q4-24,Quartal,05/04/2022,129.87,-,-,-,20,-
Q1-23,Quartal,05/04/2022,247.17,239,249,127381,10964,44
M12-22,Monat,05/04/2022,255.49,-,-,-,294,-
Q2-24,Quartal,05/04/2022,105.48,-,-,-,294,-
M5-22,Monat,05/04/2022,229.43,223,234,392832,213885,315
M6-22,Monat,05/04/2022,245.5,242,250.75,117360,210615,82
Q2-23,Quartal,05/05/2022,193.37,188.00,197.00,45864,5503,13
Q4-23,Quartal,05/05/2022,237.25,234.35,241.50,134749,4941,35
M2-23,Monat,05/05/2022,286.64,-,-,-,-,-
M11-22,Monat,05/05/2022,281.47,-,-,-,69,-
Q3-24,Quartal,05/05/2022,158.44,154.00,154.00,2208,439,1
Q3-23,Quartal,05/05/2022,192.91,190.00,192.00,17664,5086,6
M9-22,Monat,05/05/2022,265.28,263.00,267.00,13680,803,5
M8-22,Monat,05/05/2022,229.78,228.00,230.00,6696,377,8
M5-22,Monat,05/05/2022,203.6,-,-,-,229804,-
M10-22,Monat,05/05/2022,260.93,-,-,-,525,-
Q1-24,Quartal,05/05/2022,233.55,228.00,228.00,4366,506,1
Q1-23,Quartal,05/05/2022,273.5,266.75,276.00,231013,13077,69
Q3-22,Quartal,05/05/2022,241.91,238.00,247.50,772800,193815,188
Q4-22,Quartal,05/05/2022,272.4,265.00,276.50,742224,183129,165
M1-23,Monat,05/05/2022,292.11,-,-,-,-,-
cal-25,Jahr,05/05/2022,164.07,161.00,164.00,122640,4781,12
Q4-24,Quartal,05/05/2022,198.11,-,-,-,78,-
M12-22,Monat,05/05/2022,275.1,-,-,-,294,-
Q2-24,Quartal,05/05/2022,162.12,156.00,156.00,2184,328,1
M7-22,Monat,05/05/2022,231.42,227.50,232.25,40920,1165,40
cal-24,Jahr,05/05/2022,188.0,182.00,190.75,579744,17225,51
M6-22,Monat,05/05/2022,218.99,214.50,224.00,466560,220424,256
cal-23,Jahr,05/05/2022,224.07,218.00,229.00,1594320,70665,169
M9-22,Monat,06/05/2022,261.68,258.00,265.00,6480,848,7
Q1-24,Quartal,06/05/2022,233.19,-,-,-,506,-
Q4-22,Quartal,06/05/2022,266.03,265.00,272.75,448427,183228,94
M1-23,Monat,06/05/2022,287.82,-,-,-,-,-
M8-22,Monat,06/05/2022,225.05,226.00,232.50,14880,404,14
M11-22,Monat,06/05/2022,274.78,-,-,-,69,-
M7-22,Monat,06/05/2022,224.33,222.00,233.00,42408,1232,30
M12-22,Monat,06/05/2022,268.31,-,-,-,294,-
Q2-24,Quartal,06/05/2022,162.74,-,-,-,328,-
M6-22,Monat,06/05/2022,209.5,205.00,218.50,253440,221501,222
M2-23,Monat,06/05/2022,282.42,-,-,-,-,-
Q2-23,Quartal,06/05/2022,194.55,196.00,197.75,15288,5527,4
cal-23,Jahr,06/05/2022,224.6,224.00,228.00,613200,70966,60
cal-25,Jahr,06/05/2022,165.9,165.50,166.00,35040,4833,3
Q4-23,Quartal,06/05/2022,242.37,-,-,4418,4968,2
Q3-22,Quartal,06/05/2022,236.75,233.75,244.00,554208,194241,145
M10-22,Monat,06/05/2022,255.29,-,-,-,525,-
Q4-24,Quartal,06/05/2022,201.64,-,-,-,78,-
M5-22,Monat,06/05/2022,195.24,-,-,-,229803,-
Q3-24,Quartal,06/05/2022,154.66,-,-,-,439,-
cal-24,Jahr,06/05/2022,188.0,186.50,189.00,289872,17282,18
Q3-23,Quartal,06/05/2022,194.59,-,-,4416,5126,1
Q1-23,Quartal,06/05/2022,267.5,266.50,272.00,112268,13032,36
cal-23,Jahr,06/06/2022,247.4,245.30,249.00,315360,75786,35
M1-23,Monat,06/06/2022,318.6,-,-,-,-,-
M2-23,Monat,06/06/2022,312.63,-,-,-,-,-
Q3-24,Quartal,06/06/2022,162.04,-,-,-,485,-
M8-22,Monat,06/06/2022,195.35,195.00,196.00,9672,1172,8
M3-23,Monat,06/06/2022,260.22,-,-,-,-,-
M10-22,Monat,06/06/2022,225.27,-,-,-,645,-
M9-22,Monat,06/06/2022,221.25,216.00,221.00,6480,2325,5
M7-22,Monat,06/06/2022,185.56,182.75,187.00,149544,4620,99
Q4-24,Quartal,06/06/2022,207.52,-,-,-,116,-
M6-22,Monat,06/06/2022,177.81,-,-,-,233975,-
cal-25,Jahr,06/06/2022,167.94,-,-,-,5545,-
Q4-22,Quartal,06/06/2022,265.33,265.00,270.50,61852,186660,27
M11-22,Monat,06/06/2022,282.87,-,-,-,87,-
Q1-24,Quartal,06/06/2022,245.43,-,-,-,579,-
Q4-23,Quartal,06/06/2022,269.65,265.00,267.00,4418,5705,2
M12-22,Monat,06/06/2022,288.48,-,-,-,321,-
Q2-24,Quartal,06/06/2022,161.19,-,-,-,390,-
Q2-23,Quartal,06/06/2022,208.99,210.75,210.75,2184,6050,1
Q3-23,Quartal,06/06/2022,214.99,-,-,-,5571,-
Q3-22,Quartal,06/06/2022,200.5,197.00,205.50,143520,200263,37
Q1-23,Quartal,06/06/2022,296.65,297.00,299.00,8636,15071,4
cal-24,Jahr,06/06/2022,193.99,194.50,194.50,17568,18742,1
Q3-22,Quartal,07/06/2022,196.75,194.20,197.50,253920,200650,73
cal-24,Jahr,07/06/2022,189.84,189.50,193.60,447984,18875,42
M2-23,Monat,07/06/2022,308.78,-,-,-,-,-
Q2-24,Quartal,07/06/2022,157.97,-,-,-,430,-
Q1-24,Quartal,07/06/2022,243.23,-,-,-,579,-
cal-25,Jahr,07/06/2022,165.83,165.75,168.00,131400,5570,7
Q4-22,Quartal,07/06/2022,263.5,260.00,264.00,86151,186798,28
M8-22,Monat,07/06/2022,193.89,190.00,194.00,85560,1332,56
Q2-23,Quartal,07/06/2022,206.45,203.60,207.35,48048,6075,15
Q4-23,Quartal,07/06/2022,262.88,261.00,266.25,28717,5754,8
M1-23,Monat,07/06/2022,314.68,-,-,-,-,-
Q3-23,Quartal,07/06/2022,210.52,210.75,213.50,24288,5663,8
Q3-24,Quartal,07/06/2022,158.71,-,-,-,525,-
M3-23,Monat,07/06/2022,257.02,-,-,-,-,-
M11-22,Monat,07/06/2022,280.96,-,-,-,87,-
M10-22,Monat,07/06/2022,223.31,-,-,-,645,-
M9-22,Monat,07/06/2022,216.0,211.00,216.00,100800,2513,68
M7-22,Monat,07/06/2022,180.98,178.95,183.00,203856,5411,151
cal-23,Jahr,07/06/2022,243.04,241.99,245.50,1603080,76031,161
M12-22,Monat,07/06/2022,286.84,-,-,-,321,-
M6-22,Monat,07/06/2022,172.99,-,-,-,233975,-
Q4-24,Quartal,07/06/2022,199.7,-,-,-,116,-
Q1-23,Quartal,07/06/2022,293.0,291.50,295.00,73406,15144,25
cal-25,Jahr,08/04/2022,117.17,,,,,
Q4-22,Quartal,08/04/2022,266.5,,,,,
cal-24,Jahr,08/04/2022,137.5,,,,,
Q1-23,Quartal,08/04/2022,252.52,,,,,
cal-23,Jahr,08/04/2022,193.88,,,,,
Q3-22,Quartal,08/04/2022,257.25,,,,,
M6-22,Monat,08/06/2022,164.17,-,-,-,233975,-
M7-22,Monat,08/06/2022,175.6,174.90,182.01,266352,6147,181
Q4-24,Quartal,08/06/2022,190.23,-,-,-,116,-
M3-23,Monat,08/06/2022,248.15,-,-,-,-,-
Q3-24,Quartal,08/06/2022,155.12,-,-,-,545,-
cal-23,Jahr,08/06/2022,235.26,234.00,239.60,1611840,76360,164
M1-23,Monat,08/06/2022,303.7,-,-,-,-,-
M11-22,Monat,08/06/2022,269.37,-,-,-,89,-
M9-22,Monat,08/06/2022,208.73,207.25,211.00,65520,2648,46
M8-22,Monat,08/06/2022,184.37,182.25,186.00,95976,1439,63
M10-22,Monat,08/06/2022,212.7,-,-,-,647,-
M2-23,Monat,08/06/2022,298.01,-,-,-,-,-
Q4-23,Quartal,08/06/2022,257.96,258.00,259.25,39762,5852,12
Q3-23,Quartal,08/06/2022,202.86,203.50,203.50,17664,5731,5
Q2-23,Quartal,08/06/2022,198.04,198.50,202.00,45864,6103,14
Q1-23,Quartal,08/06/2022,282.81,280.00,288.00,153289,15321,40
Q4-22,Quartal,08/06/2022,252.09,252.00,256.00,117077,186946,47
cal-24,Jahr,08/06/2022,184.9,184.00,186.00,342576,18965,28
Q3-22,Quartal,08/06/2022,189.36,188.45,192.25,415104,201069,127
M12-22,Monat,08/06/2022,274.81,280.00,280.00,2976,347,2
cal-25,Jahr,08/06/2022,160.37,160.00,160.05,43800,5597,4
Q2-24,Quartal,08/06/2022,154.9,-,-,-,450,-
Q1-24,Quartal,08/06/2022,239.65,-,-,-,592,-
Q3-22,Quartal,09/03/2022,293.74,,,,,
cal-23,Jahr,09/03/2022,173.41,,,,,
Q4-22,Quartal,09/03/2022,286.0,,,,,
Q2-22,Quartal,09/03/2022,324.64,,,,,
M5-22,Monat,09/05/2022,188.67,-,-,-,229803,-
M9-22,Monat,09/05/2022,246.36,245.00,253.00,3600,858,5
cal-24,Jahr,09/05/2022,183.0,180.00,183.00,228384,17330,22
cal-23,Jahr,09/05/2022,217.87,211.95,219.25,1182600,71270,119
cal-25,Jahr,09/05/2022,161.04,159.00,160.50,52560,4902,5
Q3-22,Quartal,09/05/2022,223.29,216.50,227.00,320160,194644,105
M10-22,Monat,09/05/2022,247.72,-,-,-,530,-
Q4-24,Quartal,09/05/2022,194.93,193.00,195.00,6627,81,2
M2-23,Monat,09/05/2022,273.46,-,-,-,-,-
Q3-23,Quartal,09/05/2022,189.36,-,-,-,5133,-
Q4-22,Quartal,09/05/2022,257.9,254.00,260.00,426337,183488,98
Q3-24,Quartal,09/05/2022,151.83,150.00,150.50,6624,442,2
Q2-23,Quartal,09/05/2022,188.99,185.25,189.00,19656,5540,8
M7-22,Monat,09/05/2022,211.23,207.00,216.00,19344,1279,15
Q2-24,Quartal,09/05/2022,156.76,158.00,158.00,4368,330,1
M8-22,Monat,09/05/2022,213.03,213.00,216.00,11160,447,11
Q4-23,Quartal,09/05/2022,234.0,234.00,235.00,110450,5021,28
M12-22,Monat,09/05/2022,259.72,-,-,-,294,-
M1-23,Monat,09/05/2022,278.69,-,-,-,-,-
M11-22,Monat,09/05/2022,266.55,-,-,-,69,-
Q1-23,Quartal,09/05/2022,259.74,259.00,262.00,60452,13086,15
M6-22,Monat,09/05/2022,198.3,192.90,204.71,184320,222252,169
Q1-24,Quartal,09/05/2022,228.71,228.00,228.28,21830,516,3
Q3-22,Quartal,10/05/2022,215.38,211.50,229.00,726432,195372,205
Q2-24,Quartal,10/05/2022,155.79,-,-,-,330,-
