PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,12.04.2022,197.14,193.75,197.50,735840,67247,79
Jahr 2024,Jahr,12.04.2022,147.00,141.00,147.05,193248,15992,20
Jahr 2025,Jahr,12.04.2022,124.75,122.50,124.25,43800,4394,4
Quartal 3/2022,Quartal,12.04.2022,247.25,245.40,250.00,346656,188549,84
Quartal 4/2022,Quartal,12.04.2022,257.82,257.00,259.00,262871,179210,66
Quartal 1/2023,Quartal,12.04.2022,246.53,246.00,249.00,90678,11521,31
Quartal 2/2023,Quartal,12.04.2022,177.11,170.50,178.50,131040,5079,43
Quartal 3/2023,Quartal,12.04.2022,170.31,167.50,170.00,203136,4683,53
Quartal 4/2023,Quartal,12.04.2022,195.49,192.50,195.00,145794,3833,42
Quartal 1/2024,Quartal,12.04.2022,189.03,-,-,-,383,-
Quartal 2/2024,Quartal,12.04.2022,123.52,119.00,119.00,2184,298,1
Quartal 3/2024,Quartal,12.04.2022,122.42,115.00,115.00,2208,379,1
Quartal 4/2024,Quartal,12.04.2022,153.25,-,-,-,35,-
April 2022,Monat,12.04.2022,179.46,-,-,-,236711,-
Mai 2022,Monat,12.04.2022,216.75,214.10,222.00,177072,216842,161
Juni 2022,Monat,12.04.2022,231.11,230.00,233.45,62640,211741,49
Juli 2022,Monat,12.04.2022,239.37,237.00,238.50,14136,514,9
August 2022,Monat,12.04.2022,236.31,-,-,-,152,-
September 2022,Monat,12.04.2022,266.70,-,-,-,381,-
Oktober 2022,Monat,12.04.2022,253.99,-,-,-,295,-
November 2022,Monat,12.04.2022,266.52,-,-,-,14,-
Dezember 2022,Monat,12.04.2022,253.24,-,-,-,294,-
Januar 2023,Monat,12.04.2022,264.19,-,-,-,-,-
